description,proposed_by_company_id,proposed_for_highway_id
"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",6,42
Aliquam quis turpis eget elit sodales scelerisque.,4,11
Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,9,39
"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",31,1
"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",6,34
"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",34,46
Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,41,40
"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",2,37
"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",12,2
Duis consequat dui nec nisi volutpat eleifend.,21,26
Cras pellentesque volutpat dui.,8,9
Sed accumsan felis.,8,50
"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",10,2
In eleifend quam a odio. In hac habitasse platea dictumst.,27,21
Nunc purus.,7,14
Aenean fermentum.,20,31
"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",11,16
"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",17,12
Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,45,16
Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,16,19
"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",39,27
"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",39,34
Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.,26,3
In quis justo. Maecenas rhoncus aliquam lacus.,38,43
Nullam molestie nibh in lectus.,47,40
"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",28,17
Integer ac neque.,11,25
"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",12,31
"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",17,40
In hac habitasse platea dictumst.,49,10
Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,19,49
"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",3,4
Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,13,42
"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",12,20
"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",18,18
Nulla facilisi.,27,3
